clipped_smiles	ID
Cc1ccc(C(C)(C)CC([15CH3])=O)cc1	EN300-10094
Cc1ccc(Br)c(C)c1C([15CH3])=O	EN300-100940
C[C@@H](C([15CH3])=O)N(C)C	EN300-100958
[15CH3]C(=O)c1ccc(Cl)c(O)c1	EN300-101007
Cc1ccc(CC([15CH3])=O)o1	EN300-101015
[15CH3]C(=O)Cc1ccoc1	EN300-101018
COc1ccc(C(C)CC([15CH3])=O)cc1	EN300-101031
[15CH3]C(=O)CN1CCCCCC1=O	EN300-10104
COC(C)c1nc(C([15CH3])=O)cs1	EN300-101077
COc1cccc(CC([15CH3])=O)n1	EN300-101123
CC[C@H](C)[C@@H](N)C([15CH3])=O	EN300-101127
CSc1ncc(Br)c(C([15CH3])=O)n1	EN300-101161
[15CH3]C(=O)Cc1cncnc1	EN300-101163
Cc1cc(C([15CH3])=O)oc1C	EN300-101175
CC[C@@H](C)[C@@H](N)C([15CH3])=O	EN300-101180
[15CH3]C(=O)c1cn2ccncc2n1	EN300-101182
CC1OCCC1C([15CH3])=O	EN300-101188
[15CH3]C(=O)CCc1nnc[nH]1	EN300-101197
CC(C([15CH3])=O)c1ccc(Cl)s1	EN300-101200
CC(C([15CH3])=O)c1cnn(C)c1	EN300-101202
Cc1nc(CCCC([15CH3])=O)cs1	EN300-101218
Cc1ccc(C([15CH3])=O)c(Br)c1	EN300-101329
CCc1ccc(C(C)(C)C([15CH3])=O)cc1	EN300-101345
[15CH3]C(=O)CC1CCCCCC1	EN300-101366
Cc1ccc(CCCC([15CH3])=O)s1	EN300-101368
[15CH3]C(=O)c1nc(N)ccc1Br	EN300-101384
[15CH3]C(=O)C1(O)COC1	EN300-101443
[15CH3]C(=O)c1cccc(C(F)(F)F)c1F	EN300-101462
[15CH3]C(=O)C1CC(=O)N1	EN300-101505
[15CH3]C(=O)Cc1cccc(CC(=O)O)c1	EN300-101541
[15CH3]C(=O)Cc1cccc(CC(=O)O)c1	EN300-101541
Cn1cc(C#N)cc1C([15CH3])=O	EN300-101557
[15CH3]C(=O)CCc1csc2ccccc12	EN300-101558
[15CH3]C(=O)CN1N=C(C(F)(F)F)CC1=O	EN300-101569
[15CH3]C(=O)C(N)CC(F)(F)F	EN300-101571
[15CH3]C(=O)C(N)Cc1cccc(Cl)c1	EN300-101573
CCCn1nc(C)cc1C([15CH3])=O	EN300-101599
Cc1ccc(C(F)(F)F)cc1C([15CH3])=O	EN300-101628
Cc1sccc1C([15CH3])=O	EN300-101659
Cc1cc(C([15CH3])=O)cc(C)n1	EN300-101677
[15CH3]C(=O)CCc1ncc(F)cn1	EN300-101686
[15CH3]C(=O)C1CC(N)C1	EN300-101704
CCc1cc(C([15CH3])=O)sc1C	EN300-10174
Cc1cc(CCC([15CH3])=O)ccc1Br	EN300-101790
[15CH3]C(=O)c1ccnc(OCCO)c1	EN300-101796
CS(=O)(=O)c1cc(C([15CH3])=O)ccc1Cl	EN300-10180
Cc1ccc(S(C)(=O)=O)cc1C([15CH3])=O	EN300-10181
[15CH3]C(=O)c1csc2ccc(Cl)cc12	EN300-101837
CNS(=O)(=O)c1cc(C([15CH3])=O)c(C)o1	EN300-101863
[15CH3]C(=O)c1cc(S(=O)(=O)F)cs1	EN300-101868
[15CH3]C(=O)c1cc(S(=O)(=O)F)ccc1Cl	EN300-101873
[15CH3]C(=O)c1cc(O)ccc1F	EN300-101877
[15CH3]C(=O)c1ncccc1C(F)(F)F	EN300-101921
[15CH3]C(=O)CCc1cc(F)ccc1Br	EN300-101931
[15CH3]C(=O)c1cccc(SCC#N)c1	EN300-101952
CC(C)Oc1cccnc1C([15CH3])=O	EN300-101965
Cc1nn(C)c(F)c1C([15CH3])=O	EN300-102006
[15CH3]C(=O)C1Cc2ccccc2C1	EN300-102018
COc1ccc(C2(C([15CH3])=O)CC2)cc1	EN300-102047
COc1cccc(NCC([15CH3])=O)c1	EN300-102049
[15CH3]C(=O)c1ccnc(C(N)=O)c1	EN300-102071
