smiles,ID,rb,mw,heavy,chiral,hba,hbd,het_count,rings,rac,clogp,qed,rb_MPO,mw_MPO,heavy_MPO,het_count_MPO,hba_MPO,hbd_MPO,rac_MPO,rings_MPO,MPO
OC(=O)c1ccc2oncc2c1,EN300-247051,1.0,163.132,12.0,0.0,3.0,1.0,4.0,2.0,0.0,1.526,0.6918162547956719,0.9,0.5702833333333333,0.5333333333333333,0.0,0.5,1.0,1.0,0.8572439828530728,0.3138542755184468
CN[C@@H](Cc1ccc(O)cc1)C(O)=O,EN300-24708873,4.0,195.218,14.0,1.0,3.0,3.0,4.0,1.0,0.0,0.6072999999999997,0.6579275477431409,0.6,0.4365916666666667,0.4,0.0,0.5,0.33333333333333337,1.0,1.0,0.4858911764705882
Cn1nc(cc1Cl)C(O)=O,EN300-247167,1.0,160.56,10.0,0.0,3.0,1.0,5.0,1.0,0.0,0.7717,0.6604473988040402,0.9,0.581,0.6666666666666667,0.0,0.5,1.0,1.0,1.0,0.28850980392156855
Cc1cc(CN)ccc1C(O)=O,EN300-247217,2.0,165.192,12.0,0.0,2.0,2.0,3.0,1.0,0.0,1.15192,0.6905567498069425,0.8,0.5617,0.5333333333333333,0.5,1.0,0.6666666666666667,1.0,1.0,0.2515647058823529
Cc1nnc(CC(O)=O)s1,EN300-247222,2.0,158.182,10.0,0.0,4.0,1.0,5.0,1.0,0.0,0.47362,0.6792846347117429,0.8,0.5909083333333334,0.6666666666666667,0.0,0.0,1.0,1.0,1.0,0.3696970588235293
OC(=O)c1ccc2[nH]nc(Br)c2n1,EN300-24726805,1.0,242.03199999999998,13.0,0.0,3.0,2.0,6.0,2.0,0.0,1.4185999999999999,0.7919464820726974,0.9,0.24153333333333338,0.4666666666666667,0.0,0.5,0.6666666666666667,1.0,0.8572439828530728,0.3995895696360937
OC(=O)C1CC(C1)c1ccccc1Cl,EN300-24727041,2.0,210.66000000000003,14.0,0.0,1.0,1.0,3.0,2.0,0.0,2.9182000000000015,0.8151617790850159,0.8,0.37224999999999986,0.4,0.5,1.0,1.0,1.0,0.8572439828530728,0.25872094218511343
N[C@H]1CCCC[C@@H]1C(O)=O,EN300-24728300,1.0,143.18599999999998,10.0,2.0,2.0,2.0,3.0,1.0,0.0,0.5884999999999998,0.5642711129869765,0.9,0.6533916666666668,0.6666666666666667,0.5,1.0,0.6666666666666667,1.0,1.0,0.20156176470588227
Nc1nc(Cl)cc(n1)C(O)=O,EN300-247307,1.0,173.55899999999997,11.0,0.0,4.0,2.0,6.0,1.0,0.0,0.41039999999999993,0.600757988873122,0.9,0.5268375000000001,0.6,0.0,0.0,0.6666666666666667,1.0,1.0,0.4007642156862745
CC1(O)CC(C1)C(O)=O,EN300-247343,1.0,130.143,9.0,0.0,2.0,2.0,3.0,1.0,0.0,0.23199999999999993,0.5339118271663896,0.9,0.7077375,0.7333333333333334,0.5,1.0,0.6666666666666667,1.0,1.0,0.18732499999999996
N[C@@H](Cc1cccc(O)c1)C(O)=O,EN300-247349,3.0,181.19099999999997,13.0,1.0,3.0,3.0,4.0,1.0,0.0,0.3466,0.6277204469356521,0.7,0.49503750000000013,0.4666666666666667,0.0,0.5,0.33333333333333337,1.0,1.0,0.4476426470588235
OC(=O)c1cn(CC2CC2)nn1,EN300-247428,3.0,167.168,12.0,0.0,4.0,1.0,5.0,2.0,0.0,0.38629999999999987,0.7064486396862469,0.7,0.5534666666666667,0.5333333333333333,0.0,0.0,1.0,1.0,0.8572439828530728,0.4217150598321723
CC(C)N1CCC(CC1)C(O)=O,EN300-247576,2.0,171.24,12.0,0.0,2.0,1.0,3.0,1.0,0.0,1.1914,0.6781534699784023,0.8,0.5365,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.21531372549019612
NC(C(O)=O)(c1ccc[nH]1)C(F)(F)F,EN300-247603,2.0,208.13899999999995,14.0,1.0,2.0,3.0,7.0,1.0,1.0,0.8155999999999994,0.6725473162347253,0.8,0.38275416666666684,0.4,0.0,1.0,0.33333333333333337,0.5,1.0,0.4451661764705882
CC1CC1(C#N)C(O)=O,EN300-247607,1.0,125.12699999999998,9.0,2.0,2.0,1.0,3.0,1.0,2.0,0.6207799999999999,0.5583986158850592,0.9,0.7286375,0.7333333333333334,0.5,1.0,1.0,0.0,1.0,0.2632975490196078
Cc1cc(ncc1C(N)=O)C(O)=O,EN300-247617,2.0,180.163,13.0,0.0,3.0,2.0,5.0,1.0,0.0,0.18712,0.678703950838303,0.8,0.4993208333333333,0.4666666666666667,0.0,0.5,0.6666666666666667,1.0,1.0,0.38439362745098027
CCc1ccc(CC(O)=O)nc1,EN300-247623,3.0,165.19199999999998,12.0,0.0,2.0,1.0,3.0,1.0,0.0,1.2711,0.7333381651819346,0.7,0.5617000000000001,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.23587843137254894
CC1(CCCC1)C(O)=O,EN300-24763,1.0,128.171,9.0,0.0,1.0,1.0,2.0,1.0,0.0,1.6513,0.5826262077268317,0.9,0.7159541666666667,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,0.0883191176470588
OC(=O)C1(Cc2cccc(Cl)c2)CC1,EN300-247631,3.0,210.65999999999997,14.0,0.0,1.0,1.0,3.0,2.0,0.0,2.747300000000001,0.833177161533643,0.7,0.3722500000000002,0.4,0.5,1.0,1.0,1.0,0.8572439828530728,0.28225035394981923
OC(=O)c1cc(on1)-c1cccs1,EN300-24764,2.0,195.199,13.0,0.0,4.0,1.0,5.0,2.0,0.0,2.1013,0.7965064456960635,0.8,0.43667083333333334,0.4666666666666667,0.0,0.0,1.0,1.0,0.8572439828530728,0.41976947159687805
CN1CC(C(C1)C(F)(F)F)C(O)=O,EN300-247726,1.0,197.15599999999998,13.0,2.0,2.0,1.0,6.0,1.0,2.0,0.8110999999999999,0.6758394522900701,0.9,0.42851666666666677,0.4666666666666667,0.0,1.0,1.0,0.0,1.0,0.3888019607843137
CN1CC(=O)N[C@@H](CC(O)=O)C1=O,EN300-24773679,2.0,186.16699999999997,13.0,1.0,3.0,2.0,6.0,1.0,0.0,-1.582099999999999,0.5444296698373317,0.8,0.47430416666666675,0.4666666666666667,0.0,0.5,0.6666666666666667,1.0,1.0,0.3873367647058823
Nc1ccnc(CC(O)=O)n1,EN300-247834,2.0,153.141,11.0,0.0,4.0,2.0,5.0,1.0,0.0,-0.3141000000000003,0.6076608153428567,0.8,0.6119125000000001,0.6,0.0,0.0,0.6666666666666667,1.0,1.0,0.41428480392156863
OC(=O)c1csc(c1)-c1ccccc1,EN300-24788,2.0,204.25000000000003,14.0,0.0,2.0,1.0,3.0,2.0,0.0,3.1133000000000006,0.8156130188589528,0.8,0.3989583333333332,0.4,0.5,1.0,1.0,1.0,0.8572439828530728,0.25557878532236833
Cc1nc(n[nH]1)C(O)=O,EN300-247895,1.0,127.10299999999998,9.0,0.0,3.0,2.0,5.0,1.0,0.0,-0.18868000000000018,0.5476451624028593,0.9,0.7204041666666667,0.7333333333333334,0.0,0.5,0.6666666666666667,1.0,1.0,0.30348186274509803
Nc1ccn2nc(cc2c1)C(O)=O,EN300-247912,1.0,177.163,13.0,0.0,4.0,2.0,5.0,2.0,0.0,0.6147,0.6684258634765221,0.9,0.5118208333333333,0.4666666666666667,0.0,0.0,0.6666666666666667,1.0,0.8572439828530728,0.4266145696360938
CCC(C)(NC)C(O)=O,EN300-24793277,3.0,131.17499999999998,9.0,1.0,2.0,2.0,3.0,0.0,1.0,0.45910000000000006,0.5846313967487162,0.7,0.7034375,0.7333333333333334,0.5,1.0,0.6666666666666667,0.5,0.8572439828530728,0.30211064806746624
OC(=O)C1(CCNC1)C#N,EN300-24794239,1.0,140.142,10.0,1.0,3.0,2.0,4.0,1.0,1.0,-0.4257199999999999,0.5181962558820778,0.9,0.666075,0.6666666666666667,0.0,0.5,0.6666666666666667,0.5,1.0,0.37654019607843126
CO[C@H](C)C(O)=O,EN300-247951,2.0,104.10499999999999,7.0,1.0,2.0,1.0,3.0,0.0,0.0,0.10590000000000005,0.54030129463793,0.8,0.8162291666666667,0.8666666666666667,0.5,1.0,1.0,1.0,0.8572439828530728,0.15158613826354483
OC(=O)C12CC1CCCC2,EN300-247955,1.0,140.182,10.0,2.0,1.0,1.0,2.0,2.0,2.0,1.6513,0.6009264675343821,0.9,0.6659083333333333,0.6666666666666667,1.0,1.0,1.0,0.0,0.8572439828530728,0.22809447159687812
C[C@H](N)c1nc(C)c(o1)C(O)=O,EN300-24797131,2.0,170.16799999999998,12.0,1.0,4.0,2.0,5.0,1.0,0.0,0.7009200000000002,0.6814424679849109,0.8,0.5409666666666668,0.5333333333333333,0.0,0.0,0.6666666666666667,1.0,1.0,0.43047450980392155
